task,model,privacy_mechanism,epsilon,delta,seed,metric,value
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,fpr_group_female,0.13636363636363635
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,fpr_group_male,0.10344827586206896
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,group_size_female,137.0
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,group_size_male,131.0
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,mia_loss_threshold_auc,0.510054139349979
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,mia_tpr_at_fpr_0.01,0.005841121495327103
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,achieved_epsilon,5.996399562124039
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,1,noise_multiplier,1.483154296875
high_cost,dummy,none,inf,,2,roc_auc,0.5
high_cost,dummy,none,inf,,2,pr_auc,0.5074626865671642
high_cost,dummy,none,inf,,2,accuracy,0.5074626865671642
high_cost,dummy,none,inf,,2,precision,0.5074626865671642
high_cost,dummy,none,inf,,2,recall,1.0
high_cost,dummy,none,inf,,2,f1,0.6732673267326733
high_cost,dummy,none,inf,,2,macro_f1,0.33663366336633666
high_cost,dummy,none,inf,,2,brier,0.25
high_cost,dummy,none,inf,,2,ece,0.007462686567164201
high_cost,dummy,none,inf,,2,threshold,0.5
high_cost,dummy,none,inf,,2,demographic_parity_difference,0.0
high_cost,dummy,none,inf,,2,equalized_odds_difference,0.0
high_cost,dummy,none,inf,,2,tpr_group_female,1.0
high_cost,dummy,none,inf,,2,tpr_group_male,1.0
high_cost,dummy,none,inf,,2,fpr_group_female,1.0
high_cost,dummy,none,inf,,2,fpr_group_male,1.0
high_cost,dummy,none,inf,,2,group_size_female,137.0
high_cost,dummy,none,inf,,2,group_size_male,131.0
high_cost,logistic,none,inf,,2,roc_auc,0.9626504010695187
high_cost,logistic,none,inf,,2,pr_auc,0.9771614872051996
high_cost,logistic,none,inf,,2,accuracy,0.9328358208955224
high_cost,logistic,none,inf,,2,precision,0.9609375
high_cost,logistic,none,inf,,2,recall,0.9044117647058824
high_cost,logistic,none,inf,,2,f1,0.9318181818181818
high_cost,logistic,none,inf,,2,macro_f1,0.9328208556149733
high_cost,logistic,none,inf,,2,brier,0.06233161297613812
high_cost,logistic,none,inf,,2,ece,0.09652357854012712
high_cost,logistic,none,inf,,2,threshold,0.5660285025125628
high_cost,logistic,none,inf,,2,demographic_parity_difference,0.021396333649077837
high_cost,logistic,none,inf,,2,equalized_odds_difference,0.04899930986887508
high_cost,logistic,none,inf,,2,tpr_group_female,0.9264705882352942
high_cost,logistic,none,inf,,2,tpr_group_male,0.8823529411764706
high_cost,logistic,none,inf,,2,fpr_group_female,0.014492753623188406
high_cost,logistic,none,inf,,2,fpr_group_male,0.06349206349206349
high_cost,logistic,none,inf,,2,group_size_female,137.0
high_cost,logistic,none,inf,,2,group_size_male,131.0
high_cost,svm,none,inf,,2,roc_auc,0.9681094028520499
high_cost,svm,none,inf,,2,pr_auc,0.979407089896422
high_cost,svm,none,inf,,2,accuracy,0.9216417910447762
high_cost,svm,none,inf,,2,precision,0.967479674796748
high_cost,svm,none,inf,,2,recall,0.875
high_cost,svm,none,inf,,2,f1,0.918918918918919
high_cost,svm,none,inf,,2,macro_f1,0.921553322275344
high_cost,svm,none,inf,,2,brier,0.04636250514281574
high_cost,svm,none,inf,,2,ece,0.05143979149846242
high_cost,svm,none,inf,,2,threshold,0.6850850904522618
high_cost,svm,none,inf,,2,demographic_parity_difference,0.042959826154789105
high_cost,svm,none,inf,,2,equalized_odds_difference,0.06349206349206349
high_cost,svm,none,inf,,2,tpr_group_female,0.8823529411764706
high_cost,svm,none,inf,,2,tpr_group_male,0.8676470588235294
high_cost,svm,none,inf,,2,fpr_group_female,0.0
high_cost,svm,none,inf,,2,fpr_group_male,0.06349206349206349
high_cost,svm,none,inf,,2,group_size_female,137.0
high_cost,svm,none,inf,,2,group_size_male,131.0
high_cost,gradient_boosting,none,inf,,2,roc_auc,0.9597537878787878
high_cost,gradient_boosting,none,inf,,2,pr_auc,0.9738129601789934
high_cost,gradient_boosting,none,inf,,2,accuracy,0.9253731343283582
high_cost,gradient_boosting,none,inf,,2,precision,0.9833333333333333
high_cost,gradient_boosting,none,inf,,2,recall,0.8676470588235294
high_cost,gradient_boosting,none,inf,,2,f1,0.921875
