task,model,privacy_mechanism,epsilon,delta,metric,mean,std,ci_lower,ci_upper,n_runs,method
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,mia_tpr_at_fpr_0.01,0.010514018691588784,0.006451729566114054,0.002503138363198173,0.018524899019979398,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,noise_multiplier,3.37890625,0.0,3.37890625,3.37890625,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,pr_auc,0.9420158198858907,0.021812396233153588,0.9149321527686285,0.9690994870031528,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,precision,0.860358822592735,0.04600440409287301,0.8032368102717967,0.9174808349136733,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,recall,0.9927272727272728,0.009958591954639388,0.9803620476243954,1.00509249783015,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,roc_auc,0.9865471617584294,0.005707238764247387,0.9794606888557105,0.9936336346611483,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,threshold,0.3211092613974412,0.14427972322787977,0.14196232339457954,0.500256199400303,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,tpr_group_female,0.992,0.017888543819998333,0.9697884391584176,1.0142115608415823,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,1.9979365212033011,1e-05,tpr_group_male,0.9933333333333334,0.014907119849998594,0.9748236992986814,1.0118429673679854,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,accuracy,0.9641791044776118,0.013349659567162919,0.9476033128047892,0.9807548961504344,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,achieved_epsilon,5.996399562124039,0.0,5.996399562124039,5.996399562124039,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,brier,0.03719474636018276,0.012128092181764891,0.02213573093118875,0.05225376178917677,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,demographic_parity_difference,0.043161047303574326,0.013644865469082302,0.026218709090281116,0.06010338551686754,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,ece,0.05469800923431771,0.015038156957950587,0.03602567114029303,0.07337034732834238,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,equalized_odds_difference,0.0215217208775375,0.01132235442429939,0.007463161013981839,0.03558028074109316,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,f1,0.9196008918617615,0.02718751613325081,0.88584313187852,0.953358651845003,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,fpr_group_female,0.04372215271515348,0.015057189355345887,0.02502618277848355,0.06241812265182341,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,fpr_group_male,0.04040964814483458,0.024769103310408106,0.009654744296511163,0.07116455199315799,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,group_size_female,133.0,6.4031242374328485,125.0494711583537,140.9505288416463,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,group_size_male,135.0,6.4031242374328485,127.0494711583537,142.9505288416463,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,macro_f1,0.9482735777031968,0.01799731016536309,0.9259269656063588,0.9706201898000347,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,mia_loss_threshold_auc,0.5068929592690752,0.01777065788129986,0.48482777315346914,0.5289581453846812,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,mia_tpr_at_fpr_0.01,0.007009345794392522,0.002978399248593916,0.003311174675136314,0.01070751691364873,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,noise_multiplier,1.483154296875,0.0,1.483154296875,1.483154296875,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,pr_auc,0.9404992701374757,0.019962030741386423,0.9157131352348594,0.965285405040092,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,precision,0.8605671747607231,0.04894977478483188,0.7997880016902149,0.9213463478312313,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,recall,0.989090909090909,0.016262312563634838,0.9688985810531069,1.0092832371287113,5,repeated_seed_t
